"","key_1","key_2","MachinesNumber","GrossRevenue","Revenue","Forecast","Plays"
"61","0.25 - video","Aries - RestaurantPlaza",2.53571428571429,32706.4878571429,82934.308494898,73629.3571428571,13190.25
"62","0.25 - video","Libra - Boundary",1.2,5606,6727.2,4448.6,44676
"63","0.25 - video","Libra - Entrance",1.33333333333333,1609.33333333333,2145.77777777778,-2049.83333333333,40426
"64","0.25 - video","Libra - Interior",1,50559.4,50559.4,48870.9,46464.5
"65","0.25 - video","Libra - RestaurantPlaza",1,11686.6,11686.6,2296.9,76590
"66","1 - reel","Aries - Entrance",1,31384,31384,5489.5,75079
"67","1 - reel","Aries - Interior",1,12230.6666666667,12230.6666666667,12922.0208333333,10618.5
"68","1 - reel","Aries - RestaurantPlaza",1,23676.1666666667,23676.1666666667,15598.0833333333,43506.5
"69","1 - reel","Libra - Boundary",2,28440.55,56881.1,64139.9,92645.25
"70","1 - reel","Libra - RestaurantPlaza",2,628,1256,-7833.5,82261.5
"71","1 - video","Aries - Boundary",4,2659,10636,90999.5,7428.25
"72","1 - video","Aries - Entrance",4,4301.25,17205,73139.5,18690.25
"73","1 - video","Aries - Interior",4,11725,46900,102038.166666667,28115.5
"74","1 - video","Aries - RestaurantPlaza",4,45911.1785714286,183644.714285714,179865.142857143,38974.25
"75","1 - video","Libra - Interior",1,45478.4545454545,45478.4545454545,44531,59723
"76","1 - video","Libra - RestaurantPlaza",1,11113,11113,19299.5,84488
"77","2 - reel","Aries - Boundary",1.65625,8105.95578125,13425.4892626953,10096.1796875,159226.335
"78","2 - reel","Aries - Entrance",1.86764705882353,8124.47617647059,15173.6540354671,13103.3602941176,88454.5
"79","2 - reel","Aries - Interior",1.57894736842105,7073.68092105263,11168.9698753463,13311.5328947368,14979.75
"80","2 - reel","Aries - RestaurantPlaza",1.72058823529412,10925.6948529412,18798.6220263841,16353.3088235294,47731.5
"81","2 - reel","Libra - Boundary",1.26086956521739,12605.4639130435,15893.8458034026,15304.7608695652,131914
"82","2 - reel","Libra - Entrance",1.78260869565217,6444.47782608696,11487.9822117202,11785.8260869565,64434
"83","2 - reel","Libra - Interior",1.375,3939.8025,5417.2284375,5646.09375,98815.5
"84","2 - reel","Libra - RestaurantPlaza",1.5,1300.71875,1951.078125,2491.90625,53146
